,Text,Annotation,Show
0,Thanks  man. I don't really want to talk to your parents.,neutral,That 70s Show
1,and then the drive took forever.,neutral,That 70s Show
2,You know  he shouldn't be.,neutral,That 70s Show
3,Well  I apologize for ruining our first date.,neutral,That 70s Show
4,Yes  but this is America  wuss.,neutral,That 70s Show
5,Isn't there anything else you would like to say to this brave and noble young man?,neutral,That 70s Show
6,No.,neutral,That 70s Show
7,I know this girl  right?,neutral,That 70s Show
8,Oh  Monty these prizes are bitchin'!,sexist,That 70s Show
9,Damn ,neutral,That 70s Show
10,Oh  man  this concert's tonight?,neutral,That 70s Show
11,Now  do my math homework  Genie.,neutral,That 70s Show
12,You can't throw him around the room like you would Eric!,neutral,That 70s Show
13,and maybe  just maybe,neutral,That 70s Show
14,You get a gutter ball  you chug.,neutral,That 70s Show
15,Kelso can't make it on account of he's got a broken face.,neutral,That 70s Show
16,because I'm nice.,neutral,That 70s Show
17,Yeah  well  you know...,neutral,That 70s Show
18,Uh-oh  you look mad.,neutral,That 70s Show
19,Okay  no offense  Hyde  but all your mother's clothes are whorey.,sexist,That 70s Show
20,Well  you've all ignored me  so I'll take that as a resounding vote of confidence.,neutral,That 70s Show
21,A straight jacket...,neutral,That 70s Show
22,Okay  Jackie  prepare to be ogled.,neutral,That 70s Show
23,Stick my eggs in the oven.I'll be back in five minutes.,neutral,That 70s Show
24,Not until you admit you loved it.,neutral,That 70s Show
25,And that's what really happened...,neutral,That 70s Show
26,nothin' happenedon my end this weekend.,neutral,That 70s Show
27,Ah  kitty  uh  what's for dinner?,neutral,That 70s Show
28,That girl is a bitch.,sexist,That 70s Show
29,but lately  you've really impressed me.,neutral,That 70s Show
30,Milk crates.,neutral,That 70s Show
31,Let the girl rap.I was into it.,neutral,That 70s Show
32,I promise.,neutral,That 70s Show
33,Wait  you didn't ask me that.,neutral,That 70s Show
34,I know! Isn't it terrific?,neutral,That 70s Show
35,Let's get this nightmare over with.,neutral,That 70s Show
36,Hanging out,neutral,That 70s Show
37,Yeah,neutral,That 70s Show
